brand, product_name, shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 GAMING OC 8G Video Card GV-N2080GAMING OC-8GC,Free Shipping
EVGA,EVGA GeForce GTX 1070 GAMING 08G-P4-5171-KR 8GB GDDR5 ACX 3.0 & Black Edition,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini ZT-P10700G-10M 8GB GDDR5,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
ASUS,ASUS ROG GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-A11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 570 DirectX 12 RX570 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
ASUS,ASUS AREZ Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,Free Shipping
PowerColor,PowerColor Radeon RX VEGA 64 DirectX 12 AXRX VEGA 64 8GBHBM2-3DHW 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card Liquid Cooling,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 8GB WINDFORCE OC GV-N1070WF2OC-8GD R2,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 590 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate SPECIAL EDITION (UEFI) 100415NT+8GSEL,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI) 100411NT+8GL,Free Shipping
