"","V1","insert_date","origin","destination","start_date","end_date","train_type","price","train_class","fare"
"1",1263097,"2019-05-04 05:11:26","BARCELONA","MADRID","2019-05-16 06:25:00","2019-05-16 08:55:00","AVE",78.8,"Turista","Promo"
"2",1980371,"2019-04-15 02:28:14","VALENCIA","MADRID","2019-05-25 14:50:00","2019-05-25 22:17:00","REGIONAL",28.35,"Turista","Adulto ida"
"3",1595459,"2019-05-09 21:02:40","MADRID","SEVILLA","2019-06-24 15:00:00","2019-06-24 17:21:00","AVE",41.2,"Turista","Promo"
"4",1126882,"2019-05-01 13:16:14","MADRID","VALENCIA","2019-05-15 15:10:00","2019-05-15 16:52:00","AVE",21.95,"Turista","Promo"
"5",688748,"2019-04-24 08:11:56","BARCELONA","MADRID","2019-05-08 13:25:00","2019-05-08 16:10:00","AVE",85.1,"Turista","Promo"
"6",64831,"2019-04-19 17:09:20","MADRID","BARCELONA","2019-05-06 14:00:00","2019-05-06 16:30:00","AVE",78.8,"Turista","Promo"
"7",1347741,"2019-05-05 23:07:42","VALENCIA","MADRID","2019-05-10 21:05:00","2019-05-10 23:32:00","INTERCITY",55.4,"Turista","Flexible"
"8",1075564,"2019-04-30 15:02:32","MADRID","VALENCIA","2019-05-21 12:21:00","2019-05-21 19:04:00","REGIONAL",28.35,"Turista","Adulto ida"
"9",2417709,"2019-04-18 00:13:41","BARCELONA","MADRID","2019-05-16 12:50:00","2019-05-16 15:45:00","AVE-TGV",75.4,"Turista","Promo"
"10",1360442,"2019-05-06 05:11:37","MADRID","VALENCIA","2019-06-16 12:42:00","2019-06-16 19:04:00","REGIONAL",28.35,"Turista","Adulto ida"
"11",2250557,"2019-04-16 18:25:53","SEVILLA","MADRID","2019-04-25 12:18:00","2019-04-25 14:56:00","ALVIA",NA,"Turista","Promo"
"12",2185071,"2019-04-16 07:26:41","MADRID","BARCELONA","2019-05-17 18:30:00","2019-05-17 21:20:00","AVE",NA,"Preferente","Promo"
